"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Basic API checks for categories, product types, and image upload validation.","7","GET categories returns 200 and list with id and name","","2026-05-26","passed","2026-05-26","","","",""
"Basic API checks for products endpoints.","8","GET unknown product returns 404","","2026-05-26","passed","2026-05-26","","","",""
"As a user
  I want to apply discount codes to my shopping cart
  So that I can receive price reductions and see correct totals","11","Apply an invalid discount code","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for Stripe payment and webhook endpoints.","10","Create checkout session for empty order returns 400","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for shopping cart create, retrieve, and delete flows.","17","Delete cart by id","","2026-05-26","passed","2026-05-26","","","",""
"As a user
  I want to apply discount codes to my shopping cart
  So that I can receive price reductions and see correct totals","8","Only admins can create discounts","","2026-05-26","passed","2026-05-26","","","",""
"Basic API checks for categories, product types, and image upload validation.","7","GET product types returns 200 and list with name and slug","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for public user registration and login.","331","Login with a registered public user","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for public user registration and login.","154","Register a new public user","","2026-05-26","passed","2026-05-26","","","",""
"Basic API checks for products endpoints.","10","Only admins can delete products","","2026-05-26","passed","2026-05-26","","","",""
"Basic API checks for products endpoints.","18","Create, fetch and delete a product","","2026-05-26","passed","2026-05-26","","","",""
"Basic API checks for categories, product types, and image upload validation.","17","Only admins can upload images","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for shopping cart create, retrieve, and delete flows.","11","Create a cart for a user","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for shopping cart create, retrieve, and delete flows.","15","Get cart by user id after creating one","","2026-05-26","passed","2026-05-26","","","",""
"As a user
  I want to apply discount codes to my shopping cart
  So that I can receive price reductions and see correct totals","10","Admin can create discounts","","2026-05-26","passed","2026-05-26","","","",""
"Basic API checks for categories, product types, and image upload validation.","9","POST image upload without file returns 400","","2026-05-26","passed","2026-05-26","","","",""
"As a user
  I want to apply discount codes to my shopping cart
  So that I can receive price reductions and see correct totals","15","Apply a valid discount code to a cart","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for Stripe payment and webhook endpoints.","6","Stripe webhook without signature returns 400","","2026-05-26","passed","2026-05-26","","","",""
"Basic API checks for products endpoints.","7","Only admins can create products","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for Stripe payment and webhook endpoints.","8","Create checkout session for unknown order returns 404","","2026-05-26","passed","2026-05-26","","","",""
"Basic API checks for products endpoints.","10","GET all products returns 200 and array","","2026-05-26","passed","2026-05-26","","","",""
"As a user
  I want to apply discount codes to my shopping cart
  So that I can receive price reductions and see correct totals","24","Prevent applying a discount code twice","","2026-05-26","passed","2026-05-26","","","",""
"Smoke API checks for public user registration and login.","12","Login with unknown user returns unauthorized","","2026-05-26","passed","2026-05-26","","","",""
